Run ID, Recon Loss, Recon-FT Loss, FT Loss, Train SSIM, Test SSIM, Train L1, Test L1, Train RMSE, Test RMSE
1.0.0.1,L2,None,None,0.8992024660110474,0.9045057892799377,0.04485847428441048,0.04476047307252884,0.05355661068780507,0.05345182339796039
1.0.0.2,L2,None,None,0.5549675226211548,0.562374472618103,0.6465292572975159,0.6241570115089417,0.7452560435411244,0.7215840814468142
1.0.0.3,L2,None,None,0.8969524502754211,0.90366131067276,0.05108476057648659,0.04854470118880272,0.0801340378971356,0.0646793772600965
1.0.0.4,L2,None,None,0.9296263456344604,0.9341538548469543,0.032663941383361816,0.03225140646100044,0.046753589535830156,0.04443737946616698
1.0.0.5,L2,None,None,0.9339450001716614,0.940380871295929,0.03095993399620056,0.029971318319439888,0.07049096162371245,0.06515546526081822
1.0.0.6,L2,None,None,0.9268500208854675,0.934540331363678,0.05414166674017906,0.05314292013645172,0.10635735000833492,0.10078109401128954
1.0.1.1,L1,None,None,0.9453215003013611,0.9476450085639954,0.02248612605035305,0.022769765928387642,0.03338659659399374,0.033686746399430915
1.0.1.2,SSIM,None,None,nan,0.9524514675140381,nan,0.025190379470586777,nan,0.05272873874849821
1.0.1.3,MS_SSIM,None,None,0.9516470432281494,0.953362226486206,0.020217016339302063,0.019895097240805626,0.03630511820514886,0.028636219680960764
1.0.1.4,L2,Cosine-L1,None,0.5593537092208862,0.5623726844787598,0.7076055407524109,0.6925883889198303,0.7429810949156368,0.728574612354086
1.0.1.4.1,L2,Cosine-L1,None,0.8668102622032166,0.86995530128479,0.05210298299789429,0.05133414641022682,0.14148619325713302,0.1378543219718483
1.0.1.4.2,L2,Cosine-L1,None,0.5711901187896729,0.5749742388725281,0.7244713306427002,0.709186315536499,0.7551127055341355,0.7404640666735484
1.0.1.4.3,L2,Cosine-L1,None,0.5711901187896729,0.5749742388725281,0.7244713306427002,0.709186315536499,0.7551127055341355,0.7404640666735484
1.0.1.4.4,L2,Cosine-L1,None,0.5710582733154297,0.5748434066772461,0.7243980765342712,0.709113597869873,0.7550428845055587,0.7403945548241166
1.0.1.5,L2,Cosine-L2,None,0.8201936483383179,0.8235529661178589,0.0650705099105835,0.06618933379650116,0.10088736543888652,0.10102937689577852
1.0.1.6,L2,Cosine-SSIM,None,0.8126437067985535,0.8178907036781311,0.05659373477101326,0.0568246990442276,0.08130657743345089,0.08152307907394922
1.0.1.7,L2,Cosine-Watson,None,0.9179118871688843,0.9205160140991211,0.03893418610095978,0.039336834102869034,0.05183118891148341,0.050259421557785754
1.0.1.8,L2,Cosine-MS_SSIM,None,0.3774729371070862,0.37345489859580994,0.4359574615955353,0.42012301087379456,0.47933415063539436,0.46563597096569004
1.0.2.1,L2,None,None,0.9521033763885498,0.9566236138343811,0.020076585933566093,0.019230930134654045,0.03363876272693266,0.028223021671542992
1.0.2.10,L2,None,None,0.7491180300712585,0.3268163800239563,5582.91796875,4001.8203125,672624.8371269084,643554.9524073293
1.0.2.11,L2,None,None,0.7327069640159607,0.3181381821632385,1146.34521484375,52.62312316894531,836468.9823298889,24429.089545048544
1.0.2.2,L2,None,None,0.9588119387626648,0.9633132219314575,0.017818886786699295,0.01715899631381035,0.023582758387889792,0.02270555623894456
1.0.2.3,L2,None,None,0.9637399911880493,0.9681633114814758,0.018335487693548203,0.01761535182595253,0.022949297377269053,0.021952924875962714
1.0.2.4,L2,None,None,0.9780232906341553,0.9802228808403015,0.011898353695869446,0.011564685963094234,0.01614187513979635,0.015689517350850713
1.0.2.5,L2,None,None,0.9751866459846497,0.9783375859260559,0.01354231033474207,0.012975899502635002,0.017926435884757393,0.016781606394974218
1.0.2.6,L2,None,None,0.9807582497596741,0.9847883582115173,0.012789135798811913,0.009806769900023937,0.05211851550980514,0.022832872315702205
1.0.2.7,L2,None,None,0.979393720626831,0.9828642010688782,0.01630586013197899,0.015048708766698837,0.034220762776049095,0.01978642544342431
1.0.2.7.1,L2,None,None,0.8294795155525208,0.36302849650382996,0.006232012994587421,0.0028642304241657257,0.009324364805406077,0.006422079667976306
1.0.2.8,L2,None,None,0.7677218317985535,0.33702346682548523,6655.62353515625,0.23184652626514435,1678133.7181333315,87.24395573619985
1.0.2.9,L2,None,None,0.7716199159622192,0.33680495619773865,63489.6796875,0.010902749374508858,17783679.19617085,0.02518550035791143
1.1.0.1,L2,None,None,0.8918207287788391,0.9010283350944519,0.035930655896663666,0.03496350347995758,0.04789893326015129,0.046454701048222996
1.1.0.2,L2,None,None,0.937856137752533,0.9408130049705505,62508.265625,213216.96875,9095328.711932955,38310916.03709919
1.1.0.3,L2,None,None,0.9393052458763123,0.9406580924987793,5739.3310546875,9855.912109375,779964.2372929672,914312.9508171696
1.1.0.4,L2,None,None,0.9376416206359863,0.9414889812469482,1076827.75,11231.4189453125,510016883.09226096,1165929.7343356502
1.1.0.5,L2,None,None,0.9368844032287598,0.9402576088905334,112817.9375,915.8641357421875,32873956.054374713,170349.93142352597
1.1.0.6,L2,None,None,0.9235856533050537,0.9281538724899292,0.030630148947238922,0.030322715640068054,0.03881649096808796,0.038652557788813324
1.1.0.7,L2,None,None,0.9324371814727783,0.936326265335083,25274778.0,0.025722239166498184,8302290244.592966,0.03356236472138077
1.1.0.8,L2,None,None,0.9532788991928101,0.9538674354553223,9970705.0,47012.03125,6149400749.678502,10398638.472944811
1.1.0.9,L2,None,None,0.9531311392784119,0.954245388507843,117883674624.0,710368362496.0,41711821982562.33,97421892528215.86
2.0.0.1,L2,None,None,0.31276893615722656,1.0355059305826824,0.358174204826355,1.1454987525939941,0.512709224451627,0.9115777654963969
