patient_number,location_number,frame_number,SSIM,L1,L2
0,0,0,0.8984578847885132,0.020033713430166245,0.002331244759261608,
0,0,1,0.9055190086364746,0.020158469676971436,0.0021901866421103477,
0,0,2,0.9080809950828552,0.01908092573285103,0.0018055199179798365,
0,0,3,0.9230104684829712,0.016875192523002625,0.0012189678382128477,
0,0,4,0.9296698570251465,0.01547202467918396,0.000920978665817529,
0,0,5,0.934755265712738,0.015296246856451035,0.0007619406096637249,
0,0,6,0.93224036693573,0.015493804588913918,0.0008124170708470047,
0,0,7,0.9320033192634583,0.01603049226105213,0.0008979797130450606,
0,0,8,0.9241857528686523,0.016853373497724533,0.001166927395388484,
0,0,9,0.9212759137153625,0.01681072823703289,0.0012775091454386711,
0,0,10,0.9224064350128174,0.0169694684445858,0.0012443135492503643,
0,0,11,0.9233997464179993,0.01733267493546009,0.0011730234837159514,
0,0,12,0.9207912683486938,0.017622631043195724,0.001257598865777254,
0,0,13,0.9271138310432434,0.015979023650288582,0.0010017179884016514,
0,0,14,0.9367912411689758,0.01468327734619379,0.0007231104536913335,
0,0,15,0.9412683844566345,0.013678530231118202,0.000534952967427671,
0,0,16,0.9445532560348511,0.013345563784241676,0.0004742046003229916,
0,0,17,0.9453529119491577,0.012895919382572174,0.00043376226676627994,
0,0,18,0.9479139447212219,0.012488081119954586,0.00040483675547875464,
0,0,19,0.9441066980361938,0.012785463593900204,0.00043863538303412497,
0,0,20,0.9370355010032654,0.014366019517183304,0.000725007732398808,
0,0,21,0.931183397769928,0.015010137110948563,0.0010828948579728603,
0,0,22,0.9235475063323975,0.016641996800899506,0.0014764582738280296,
0,0,23,0.9177595376968384,0.017433397471904755,0.0015008575282990932,
0,1,0,0.9030664563179016,0.020313501358032227,0.0021249186247587204,
0,1,1,0.9029470682144165,0.02015322633087635,0.0021534995175898075,
0,1,2,0.9063488841056824,0.01891796477138996,0.001792452996596694,
0,1,3,0.9196091890335083,0.01692981645464897,0.0012678441125899553,
0,1,4,0.9291749596595764,0.014961590990424156,0.0008643632172606885,
0,1,5,0.9378291368484497,0.013858347199857235,0.0006392969517037272,
0,1,6,0.9408221244812012,0.0134507417678833,0.0005970090860500932,
0,1,7,0.9339766502380371,0.014962119981646538,0.0008318217587657273,
0,1,8,0.9280239343643188,0.01594436541199684,0.001047433470375836,
0,1,9,0.9175091981887817,0.016826502978801727,0.0013115041656419635,
0,1,10,0.9083934426307678,0.017702436074614525,0.0015114517882466316,
0,1,11,0.9076516032218933,0.017736826092004776,0.0016034472500905395,
0,1,12,0.914406418800354,0.01716650277376175,0.0013669300824403763,
0,1,13,0.9247630834579468,0.015929201617836952,0.001009616767987609,
0,1,14,0.9338504076004028,0.014508926309645176,0.0007339626317843795,
0,1,15,0.9387538433074951,0.013291397131979465,0.0005305694648995996,
0,1,16,0.9435336589813232,0.012295365333557129,0.00042265746742486954,
0,1,17,0.9461642503738403,0.012452059425413609,0.0004508107085712254,
0,1,18,0.9471479654312134,0.012539303861558437,0.0004412755952216685,
0,1,19,0.9454472064971924,0.012749425135552883,0.0004593613848555833,
0,1,20,0.940422534942627,0.013022247701883316,0.000579632178414613,
0,1,21,0.9332194924354553,0.014268968254327774,0.0008285486255772412,
0,1,22,0.9228928089141846,0.015925223007798195,0.0012255937326699495,
0,1,23,0.9295684099197388,0.015477162785828114,0.0011734978761523962,
0,2,0,0.9108885526657104,0.01724141091108322,0.0016662331763654947,
0,2,1,0.9023874998092651,0.01900589093565941,0.0020661582238972187,
0,2,2,0.9048322439193726,0.018059751018881798,0.0019199814414605498,
0,2,3,0.9116451144218445,0.016718050464987755,0.0014212060486897826,
