patient_number,location_number,frame_number,SSIM,L1,L2
0,0,0,0.919930100440979,0.016533229500055313,0.00107654242310673,
0,0,1,0.9183863997459412,0.01673019677400589,0.001100496738217771,
0,0,2,0.9150887727737427,0.01743808574974537,0.0012865499593317509,
0,0,3,0.9165390729904175,0.017989879474043846,0.0014490578323602676,
0,0,4,0.9123836755752563,0.018491556867957115,0.001607717014849186,
0,0,5,0.9072640538215637,0.019568536430597305,0.0018177223391830921,
0,0,6,0.9044386148452759,0.0205231886357069,0.001921149087138474,
0,0,7,0.9023139476776123,0.021128306165337563,0.0019799259025603533,
0,0,8,0.9024413824081421,0.02110491693019867,0.0018992889672517776,
0,0,9,0.9058523774147034,0.02071564458310604,0.0017530861077830195,
0,0,10,0.9081494808197021,0.019708458334207535,0.0015033427625894547,
0,0,11,0.9124390482902527,0.01827365905046463,0.0012729862937703729,
0,0,12,0.9195083379745483,0.01705125719308853,0.0010632172925397754,
0,0,13,0.923391580581665,0.016195548698306084,0.0009439862915314734,
0,0,14,0.9255002737045288,0.016132429242134094,0.0009724011761136353,
0,0,15,0.9247209429740906,0.015844184905290604,0.0009629442356526852,
0,0,16,0.9245162010192871,0.015737541019916534,0.0009160847985185683,
0,0,17,0.9281429648399353,0.015228919684886932,0.0008579387795180082,
0,0,18,0.9307730197906494,0.014856725931167603,0.0008079134277068079,
0,0,19,0.9312859773635864,0.014649027958512306,0.000770263490267098,
0,0,20,0.9317660331726074,0.014497082680463791,0.000744566903449595,
0,0,21,0.9350050687789917,0.013981357216835022,0.0006617344915866852,
0,0,22,0.9349934458732605,0.013956024311482906,0.000638376921415329,
0,0,23,0.9370520114898682,0.013842348009347916,0.0006268129800446332,
0,0,24,0.9384192228317261,0.013765550218522549,0.0006175503367558122,
0,0,25,0.9360575675964355,0.01378695759922266,0.0006186656537465751,
0,0,26,0.9340450763702393,0.0142349973320961,0.0007106573320925236,
0,0,27,0.9327729344367981,0.014308476820588112,0.0007534216856583953,
0,0,28,0.9239931106567383,0.01560890581458807,0.0009845361346378922,
0,0,29,0.9202134609222412,0.016449520364403725,0.0011282932246103883,
0,1,0,0.9258348941802979,0.015310279093682766,0.0008243807242251933,
0,1,1,0.9236639142036438,0.015219435095787048,0.000821249617729336,
0,1,2,0.9191008806228638,0.015813777223229408,0.0009135552099905908,
0,1,3,0.9174528121948242,0.01615205407142639,0.0010265540331602097,
0,1,4,0.9148974418640137,0.01699863001704216,0.001258357777260244,
0,1,5,0.9089337587356567,0.018488334491848946,0.0016202289843931794,
0,1,6,0.9033430218696594,0.01918715052306652,0.0018606020603328943,
0,1,7,0.8980385065078735,0.020543867722153664,0.0021234885789453983,
0,1,8,0.8976773023605347,0.020212404429912567,0.002098559867590666,
0,1,9,0.8978700041770935,0.019955454394221306,0.0019552346784621477,
0,1,10,0.9025073647499084,0.019318602979183197,0.0017713166307657957,
0,1,11,0.9091959595680237,0.018476953729987144,0.001511978218331933,
0,1,12,0.9112133383750916,0.017821699380874634,0.0013299179263412952,
0,1,13,0.9144545197486877,0.017327487468719482,0.0011539470870047808,
0,1,14,0.9188411831855774,0.016587182879447937,0.000989818014204502,
0,1,15,0.9211727380752563,0.016132237389683723,0.000902863044757396,
0,1,16,0.9170893430709839,0.015963690355420113,0.0008883145055733621,
0,1,17,0.9205526113510132,0.015483764931559563,0.0008584337774664164,
0,1,18,0.9217675924301147,0.015296650119125843,0.0008203727193176746,
0,1,19,0.9231927990913391,0.015189599245786667,0.0008047590381465852,
0,1,20,0.9245334267616272,0.015027834102511406,0.0007797619909979403,
0,1,21,0.9247158765792847,0.01465998962521553,0.0007442012429237366,
0,1,22,0.925368070602417,0.01472041942179203,0.0007151833851821721,
0,1,23,0.9269770383834839,0.014454163610935211,0.0006940095336176455,
0,1,24,0.9301899671554565,0.014509463682770729,0.0006861516158096492,
0,1,25,0.9293349981307983,0.01431635394692421,0.0006565327057614923,
0,1,26,0.9314699172973633,0.013880293816328049,0.0006176388124004006,
0,1,27,0.9297052621841431,0.014285236597061157,0.0007076615002006292,
0,1,28,0.9273550510406494,0.014643793925642967,0.0007593665504828095,
0,1,29,0.9255213737487793,0.014929628930985928,0.0008098453399725258,
0,2,0,0.9384666681289673,0.013097910210490227,0.0005439514643512666,
0,2,1,0.9343647956848145,0.013442323543131351,0.0005856129573658109,
0,2,2,0.931128740310669,0.014096044935286045,0.0006937481230124831,
0,2,3,0.9260446429252625,0.014749199151992798,0.0008159878780134022,
0,2,4,0.9206921458244324,0.015466399490833282,0.0009867207845672965,
0,2,5,0.9141638278961182,0.016665756702423096,0.0012667796108871698,
0,2,6,0.9049651026725769,0.018001630902290344,0.0016213671769946814,
0,2,7,0.9018869996070862,0.018997225910425186,0.001924022100865841,
0,2,8,0.9004144668579102,0.01879248209297657,0.001893659820780158,
0,2,9,0.9011538028717041,0.018563751131296158,0.0018418063409626484,
0,2,10,0.9058234691619873,0.017926136031746864,0.001721406471915543,
0,2,11,0.9071005582809448,0.01768142729997635,0.0016035095322877169,
0,2,12,0.913341760635376,0.017021236941218376,0.0013679644325748086,
0,2,13,0.9174003601074219,0.016198547556996346,0.0011251720134168863,
0,2,14,0.9216834902763367,0.015688655897974968,0.0010060030035674572,
0,2,15,0.9233125448226929,0.014959960244596004,0.0008585769683122635,
0,2,16,0.9275822043418884,0.014344712719321251,0.0007692496292293072,
0,2,17,0.930185854434967,0.013861550018191338,0.0007207414600998163,
0,2,18,0.934686005115509,0.013488237746059895,0.0006768807070329785,
0,2,19,0.9357680082321167,0.013349524699151516,0.000645285879727453,
